Image Name, Detector, Descriptor, TTC Camera, TTC LIDAR,TTC DIFFERENCE,TTC DIFFERENCE LIDAR VS CAMERA
11, SHITOMASI, FREAK,12.0367,11.9682,0.0685,-0.0685
18, AKAZE, BRIEF,8.61125,8.53557,0.07568,-0.07568
6, SHITOMASI, FREAK,13.8319,13.7511,0.0808,-0.0808
10, BRISK, FREAK,11.9582,11.8642,0.094,-0.094
8, AKAZE, ORB,13.9028,13.7901,0.1127,-0.1127
11, FAST, BRISK,12.0883,11.9682,0.1201,-0.1201
18, AKAZE, BRISK,8.67077,8.53557,0.1352,-0.1352
11, AKAZE, BRIEF,12.121,11.9682,0.1528,-0.1528
11, SHITOMASI, BRISK,12.1722,11.9682,0.204,-0.204
1, FAST, ORB,12.4947,12.2891,0.2056,-0.2056
16, SHITOMASI, FREAK,9.10914,8.89867,0.21047,-0.21047
11, SHITOMASI, BRIEF,12.1794,11.9682,0.2112,-0.2112
4, BRISK, ORB,14.3497,14.0764,0.2733,-0.2733
4, AKAZE, ORB,14.3594,14.0764,0.283,-0.283
17, FAST, FREAK,11.3217,11.0301,0.2916,-0.2916
15, SHITOMASI, FREAK,8.69538,8.3212,0.37418,-0.37418
18, SHITOMASI, BRIEF,8.93181,8.53557,0.39624,-0.39624
12, AKAZE, BRISK,10.301,9.88711,0.41389,-0.41389
9, SHITOMASI, BRISK,12.4906,12.059,0.4316,-0.4316
2, SHITOMASI, BRIEF,13.8102,13.3547,0.4555,-0.4555
18, AKAZE, FREAK,9.00607,8.53557,0.4705,-0.4705
18, BRISK, BRIEF,9.03165,8.53557,0.49608,-0.49608
4, BRISK, FREAK,14.5804,14.0764,0.504,-0.504
16, FAST, FREAK,9.44349,8.89867,0.54482,-0.54482
17, ORB, BRIEF,11.5794,11.0301,0.5493,-0.5493
16, AKAZE, BRISK,9.45318,8.89867,0.55451,-0.55451
5, HARRIS, BRISK,13.3206,12.7299,0.5907,-0.5907
5, HARRIS, BRIEF,13.3206,12.7299,0.5907,-0.5907
6, HARRIS, BRIEF,14.3892,13.7511,0.6381,-0.6381
14, ORB, BRIEF,9.99925,9.30215,0.6971,-0.6971
17, SHITOMASI, ORB,11.7417,11.0301,0.7116,-0.7116
12, SHITOMASI, BRIEF,10.6,9.88711,0.71289,-0.71289
13, AKAZE, BRISK,10.2095,9.42504,0.78446,-0.78446
1, FAST, FREAK,13.0761,12.2891,0.787,-0.787
10, FAST, ORB,12.6515,11.8642,0.7873,-0.7873
1, SHITOMASI, BRIEF,13.0861,12.2891,0.797,-0.797
12, AKAZE, BRIEF,10.6918,9.88711,0.80469,-0.80469
14, BRISK, FREAK,10.114,9.30215,0.81185,-0.81185
16, SHITOMASI, BRISK,9.73454,8.89867,0.83587,-0.83587
11, AKAZE, BRISK,12.8309,11.9682,0.8627,-0.8627
16, FAST, BRIEF,9.76701,8.89867,0.86834,-0.86834
7, AKAZE, ORB,14.615,13.7314,0.8836,-0.8836
5, AKAZE, BRISK,13.6688,12.7299,0.9389,-0.9389
14, AKAZE, FREAK,10.2722,9.30215,0.97005,-0.97005
12, AKAZE, FREAK,10.8577,9.88711,0.97059,-0.97059
9, FAST, BRIEF,13.0297,12.059,0.9707,-0.9707
1, SHITOMASI, BRISK,13.2738,12.2891,0.9847,-0.9847
1, FAST, BRISK,13.312,12.2891,1.0229,-1.0229
9, FAST, ORB,13.0974,12.059,1.0384,-1.0384
7, BRISK, BRISK,14.7751,13.7314,1.0437,-1.0437
15, AKAZE, BRIEF,9.38493,8.3212,1.06373,-1.06373
11, BRISK, BRISK,13.0458,11.9682,1.0776,-1.0776
16, ORB, BRIEF,10.0494,8.89867,1.15073,-1.15073
14, AKAZE, BRIEF,10.5035,9.30215,1.20135,-1.20135
9, FAST, BRISK,13.2623,12.059,1.2033,-1.2033
6, HARRIS, ORB,14.9633,13.7511,1.2122,-1.2122
10, FAST, BRIEF,13.0809,11.8642,1.2167,-1.2167
15, AKAZE, ORB,9.54446,8.3212,1.22326,-1.22326
16, AKAZE, FREAK,10.1462,8.89867,1.24753,-1.24753
16, AKAZE, BRIEF,10.1629,8.89867,1.26423,-1.26423
15, AKAZE, BRISK,9.61003,8.3212,1.28883,-1.28883
7, SHITOMASI, BRISK,15.0311,13.7314,1.2997,-1.2997
5, AKAZE, BRIEF,14.0342,12.7299,1.3043,-1.3043
1, SHITOMASI, FREAK,13.6067,12.2891,1.3176,-1.3176
12, BRISK, FREAK,11.2184,9.88711,1.33129,-1.33129
7, BRISK, ORB,15.0786,13.7314,1.3472,-1.3472
18, AKAZE, ORB,9.91548,8.53557,1.37991,-1.37991
9, AKAZE, BRISK,13.4421,12.059,1.3831,-1.3831
13, BRISK, BRISK,10.8728,9.42504,1.44776,-1.44776
6, BRISK, BRIEF,15.2067,13.7511,1.4556,-1.4556
14, AKAZE, ORB,10.7648,9.30215,1.46265,-1.46265
5, AKAZE, FREAK,14.2426,12.7299,1.5127,-1.5127
14, ORB, FREAK,10.8542,9.30215,1.55205,-1.55205
16, ORB, FREAK,10.4558,8.89867,1.55713,-1.55713
10, FAST, FREAK,13.4338,11.8642,1.5696,-1.5696
12, SHITOMASI, ORB,11.4569,9.88711,1.56979,-1.56979
15, AKAZE, FREAK,9.90789,8.3212,1.58669,-1.58669
13, BRISK, ORB,11.0276,9.42504,1.60256,-1.60256
17, SHITOMASI, FREAK,12.6391,11.0301,1.609,-1.609
12, SHITOMASI, FREAK,11.5256,9.88711,1.63849,-1.63849
11, BRISK, ORB,13.6136,11.9682,1.6454,-1.6454
17, SHITOMASI, BRISK,12.677,11.0301,1.6469,-1.6469
9, FAST, FREAK,13.7065,12.059,1.6475,-1.6475
14, BRISK, BRIEF,10.991,9.30215,1.68885,-1.68885
11, AKAZE, ORB,13.6597,11.9682,1.6915,-1.6915
14, FAST, BRIEF,11.0014,9.30215,1.69925,-1.69925
17, HARRIS, BRIEF,12.7384,11.0301,1.7083,-1.7083
11, BRISK, BRIEF,13.7368,11.9682,1.7686,-1.7686
18, SHITOMASI, ORB,10.317,8.53557,1.78143,-1.78143
14, SHITOMASI, BRIEF,11.1071,9.30215,1.80495,-1.80495
7, AKAZE, BRIEF,15.5451,13.7314,1.8137,-1.8137
18, FAST, BRIEF,10.3618,8.53557,1.82623,-1.82623
12, BRISK, ORB,11.7708,9.88711,1.88369,-1.88369
16, FAST, BRISK,10.7828,8.89867,1.88413,-1.88413
15, FAST, BRIEF,10.2107,8.3212,1.8895,-1.8895
9, BRISK, BRISK,13.9642,12.059,1.9052,-1.9052
16, BRISK, FREAK,10.8041,8.89867,1.90543,-1.90543
13, FAST, FREAK,11.354,9.42504,1.92896,-1.92896
16, AKAZE, ORB,10.8526,8.89867,1.95393,-1.95393
5, ORB, ORB,14.6857,12.7299,1.9558,-1.9558
15, BRISK, BRIEF,10.304,8.3212,1.9828,-1.9828
2, BRISK, BRIEF,15.3406,13.3547,1.9859,-1.9859
10, SHITOMASI, FREAK,13.889,11.8642,2.0248,-2.0248
13, AKAZE, ORB,11.4596,9.42504,2.03456,-2.03456
1, BRISK, BRISK,14.3346,12.2891,2.0455,-2.0455
14, ORB, BRISK,11.3527,9.30215,2.05055,-2.05055
12, SHITOMASI, BRISK,12.0293,9.88711,2.14219,-2.14219
13, AKAZE, BRIEF,11.5785,9.42504,2.15346,-2.15346
18, SHITOMASI, BRISK,10.7133,8.53557,2.17773,-2.17773
15, FAST, FREAK,10.5231,8.3212,2.2019,-2.2019
15, BRISK, ORB,10.6024,8.3212,2.2812,-2.2812
14, SHITOMASI, FREAK,11.5998,9.30215,2.29765,-2.29765
