Image Name, Detector, Descriptor, TTC Camera, TTC LIDAR
3, ORB, ORB,19.1337,16.3845
4, ORB, ORB,11.8245,14.0764
5, ORB, ORB,14.6857,12.7299
6, ORB, ORB, -inf,13.7511
7, ORB, ORB, -inf,13.7314
8, ORB, ORB,18.3743,13.7901
9, ORB, ORB, -inf,12.059
10, ORB, ORB, -inf,11.8642
11, ORB, ORB,9.34128,11.9682
12, ORB, ORB, -inf,9.88711
13, ORB, ORB, -inf,9.42504
14, ORB, ORB, -inf,9.30215
15, ORB, ORB, -inf,8.3212
16, ORB, ORB,22.3258,8.89867
17, ORB, ORB,21.8692,11.0301
18, ORB, ORB,23.3647,8.53557
,,,,
0, ORB, FREAK, ,
1, ORB, FREAK,12.1791,12.2891
2, ORB, FREAK,10.721,13.3547
3, ORB, FREAK,11.5586,16.3845
4, ORB, FREAK,10.8492,14.0764
5, ORB, FREAK,16.2288,12.7299
6, ORB, FREAK, -inf,13.7511
7, ORB, FREAK, nan,13.7314
8, ORB, FREAK, nan,13.7901
9, ORB, FREAK,18.3901,12.059
10, ORB, FREAK,10.8775,11.8642
11, ORB, FREAK,10.8181,11.9682
12, ORB, FREAK,8.31342,9.88711
13, ORB, FREAK,8.59036,9.42504
14, ORB, FREAK,10.8542,9.30215
15, ORB, FREAK, nan,8.3212
16, ORB, FREAK,10.4558,8.89867
17, ORB, FREAK,6.42412,11.0301
18, ORB, FREAK,5.48789,8.53557
,,,,
0, AKAZE, BRISK, ,
1, AKAZE, BRISK,11.6795,12.2891
2, AKAZE, BRISK,12.8195,13.3547
3, AKAZE, BRISK,13.1886,16.3845
4, AKAZE, BRISK,13.6888,14.0764
5, AKAZE, BRISK,13.6699,12.7299
6, AKAZE, BRISK,13.0131,13.7511
7, AKAZE, BRISK,16.3005,13.7314
8, AKAZE, BRISK,12.5576,13.7901
9, AKAZE, BRISK,13.4421,12.059
10, AKAZE, BRISK,11.7135,11.8642
11, AKAZE, BRISK,12.8309,11.9682
12, AKAZE, BRISK,10.301,9.88711
13, AKAZE, BRISK,10.2095,9.42504
14, AKAZE, BRISK,9.1727,9.30215
15, AKAZE, BRISK,9.61004,8.3212
16, AKAZE, BRISK,9.45279,8.89867
17, AKAZE, BRISK,8.38733,11.0301
18, AKAZE, BRISK,8.67077,8.53557
,,,,
0, AKAZE, BRIEF, ,
1, AKAZE, BRIEF,12.2744,12.2891
2, AKAZE, BRIEF,12.8623,13.3547
3, AKAZE, BRIEF,12.6868,16.3845
4, AKAZE, BRIEF,12.9322,14.0764
5, AKAZE, BRIEF,14.0342,12.7299
6, AKAZE, BRIEF,12.2125,13.7511
7, AKAZE, BRIEF,15.5461,13.7314
8, AKAZE, BRIEF,13.485,13.7901
9, AKAZE, BRIEF,11.7805,12.059
10, AKAZE, BRIEF,11.3197,11.8642
11, AKAZE, BRIEF,12.121,11.9682
12, AKAZE, BRIEF,10.6918,9.88711
13, AKAZE, BRIEF,11.5785,9.42504
14, AKAZE, BRIEF,10.5035,9.30215
15, AKAZE, BRIEF,9.38497,8.3212
16, AKAZE, BRIEF,10.1629,8.89867
17, AKAZE, BRIEF,9.13136,11.0301
18, AKAZE, BRIEF,8.61125,8.53557
,,,,
0, AKAZE, ORB, ,
1, AKAZE, ORB,10.9286,12.2891
2, AKAZE, ORB,12.8511,13.3547
3, AKAZE, ORB,13.238,16.3845
4, AKAZE, ORB,14.3594,14.0764
5, AKAZE, ORB,12.7107,12.7299
6, AKAZE, ORB,12.655,13.7511
7, AKAZE, ORB,14.6159,13.7314
8, AKAZE, ORB,13.9035,13.7901
9, AKAZE, ORB,10.6074,12.059
10, AKAZE, ORB,10.6592,11.8642
11, AKAZE, ORB,13.6597,11.9682
12, AKAZE, ORB,9.75229,9.88711
13, AKAZE, ORB,11.4596,9.42504
14, AKAZE, ORB,10.7648,9.30215
15, AKAZE, ORB,9.54446,8.3212
16, AKAZE, ORB,10.8526,8.89867
17, AKAZE, ORB,9.52042,11.0301
18, AKAZE, ORB,9.91548,8.53557
,,,,
0, AKAZE, FREAK, ,
1, AKAZE, FREAK,11.4796,12.2891
2, AKAZE, FREAK,12.1967,13.3547
3, AKAZE, FREAK,12.7997,16.3845
4, AKAZE, FREAK,13.3031,14.0764
5, AKAZE, FREAK,14.2426,12.7299
6, AKAZE, FREAK,13.4991,13.7511
7, AKAZE, FREAK,16.0305,13.7314
8, AKAZE, FREAK,12.8325,13.7901
9, AKAZE, FREAK,11.7199,12.059
10, AKAZE, FREAK,11.0019,11.8642
11, AKAZE, FREAK,11.9808,11.9682
12, AKAZE, FREAK,10.8577,9.88711
13, AKAZE, FREAK,12.4116,9.42504
14, AKAZE, FREAK,10.272,9.30215
15, AKAZE, FREAK,9.90787,8.3212
16, AKAZE, FREAK,10.1462,8.89867
17, AKAZE, FREAK,9.65304,11.0301
18, AKAZE, FREAK,9.00608,8.53557
