Image Name, Detector, Descriptor, TTC Camera, TTC LIDAR
0016, BRISK, BRISK, 11.4475, 8.89867
0017, BRISK, BRISK, 10.0049, 11.0301
0018, BRISK, BRISK, 13.761, 8.53557

0000, BRISK, BRIEF, 
0001, BRISK, BRIEF, 10.9213, 12.2891
0002, BRISK, BRIEF, 15.3406, 13.3547
0003, BRISK, BRIEF, 10.8525, 16.3845
0004, BRISK, BRIEF, 22.7733, 14.0764
0005, BRISK, BRIEF, 15.0432, 12.7299
0006, BRISK, BRIEF, 15.2067, 13.7511
0007, BRISK, BRIEF, 13.7324, 13.7314
0008, BRISK, BRIEF, 18.1081, 13.7901
0009, BRISK, BRIEF, 14.8539, 12.059
0010, BRISK, BRIEF, 9.86778, 11.8642
0011, BRISK, BRIEF, 13.7368, 11.9682
0012, BRISK, BRIEF, 12.1969, 9.88711
0013, BRISK, BRIEF, 11.8439, 9.42504
0014, BRISK, BRIEF, 10.991, 9.30215
0015, BRISK, BRIEF, 10.304, 8.3212
0016, BRISK, BRIEF, 12.0195, 8.89867
0017, BRISK, BRIEF, 10.7936, 11.0301
0018, BRISK, BRIEF, 9.03165, 8.53557

0000, BRISK, ORB, 
0001, BRISK, ORB, 11.326, 12.2891
0002, BRISK, ORB, 19.801, 13.3547
0003, BRISK, ORB, 14.3129, 16.3845
0004, BRISK, ORB, 14.3497, 14.0764
0005, BRISK, ORB, 18.8106, 12.7299
0006, BRISK, ORB, 20.3228, 13.7511
0007, BRISK, ORB, 15.0786, 13.7314
0008, BRISK, ORB, 16.305, 13.7901
0009, BRISK, ORB, 18.261, 12.059
0010, BRISK, ORB, 11.2213, 11.8642
0011, BRISK, ORB, 13.6136, 11.9682
0012, BRISK, ORB, 11.7708, 9.88711
0013, BRISK, ORB, 11.0276, 9.42504
0014, BRISK, ORB, 13.6446, 9.30215
0015, BRISK, ORB, 10.6024, 8.3212
0016, BRISK, ORB, 13.0952, 8.89867
0017, BRISK, ORB, 10.3416, 11.0301
0018, BRISK, ORB, 14.7757, 8.53557

0000, BRISK, FREAK, 
0001, BRISK, FREAK, 11.4638, 12.2891
0002, BRISK, FREAK, 21.7152, 13.3547
0003, BRISK, FREAK, 10.6889, 16.3845
0004, BRISK, FREAK, 14.5804, 14.0764
0005, BRISK, FREAK, 17.321, 12.7299
0006, BRISK, FREAK, 12.7322, 13.7511
0007, BRISK, FREAK, 10.919, 13.7314
0008, BRISK, FREAK, 13.7901, 13.7901
0009, BRISK, FREAK, 16.9709, 12.059
0010, BRISK, FREAK, 11.9582, 11.8642
